departamento,codigo_municipio,municipio,grupo,variable,año,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
SANTA CRUZ,70401,BUENA VISTA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70402,SAN CARLOS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70403,YAPACANI,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70404,SAN JUAN DE YAPACANI,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70501,SAN JOSE DE CHIQUITOS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70502,PAILON,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70503,ROBORE,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70601,PORTACHUELO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70602,SANTA ROSA DEL SARA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70603,COLPA BELGICA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70701,LAGUNILLAS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70702,CHARAGUA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70703,CABEZAS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70704,CUEVO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70705,GUTIERREZ,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70706,CAMIRI,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70707,BOYUIBE,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70801,VALLEGRANDE,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70802,TRIGAL,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70803,MORO MORO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70804,POSTRER VALLE,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70805,PUCARA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70901,SAMAIPATA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70902,PAMPA GRANDE,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70903,MAIRANA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70904,QUIRUSILLAS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71001,MONTERO,sospecha diagnostica,tosferina,2001,3.0,0.0,0.0,0.0,0.0,3.0
SANTA CRUZ,71002,GENERAL SAAVEDRA,sospecha diagnostica,tosferina,2001,,,,,,
